Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
239427,B0044BQX2U,A23VNI5AIYLBR9,Orchid,0,0,2,1319673600,Not the best in flavor,"My son who eats everything, actually refused to eat this baby food.  I got it as a 'spare' for when we're travelling.  Unfortunately it smells a bit like dog food and there isn't any thing worth saying about it.  Even I wouldn't eat it and I am a firm believer that if I can't eat it, neither should he.  Texture wise it is good as  stage-3 food."
400912,B0016PC4TS,A23GFTVIETX7DS,Debbie Lee Wesselmann,1,2,3,1343692800,Sometimes Works,"I live in an area frequented by all kinds of wildlife -- chipmunks, deer, squirrels, groundhogs, foxes, raccoons, and even the occasional bear.  I had hoped that Havahart's Critter Ridder would keep them all at bay, particularly the groundhogs.<br /><br />This product cannot be used on vegetable or fruit gardens/plants.  Although I knew that going in, I decided that I could outline the perimeter of those areas to discourage critter trespassing.  I also had newly planted areas of my property where the deer had nibbled, and I wanted to see if this would keep them out so I didn't have to spray the actual leaves of those delicate, new plants.  Last, I had clear entry points to my property where the deer and groundhogs entered and left, and I wanted to encourage them to find other ways, hopefully onto someone else's property.<br /><br />Not surprisingly, the Critter Ridder did nothing to discourage the chipmunks that had already moved into my vegetable garden.  It also did not discourage new animals from visiting.  Veggies must be too tempting to let the scent of Critter Ridder drive them away.  I had much better results around my newly planted areas.  My guess is that this product works best first thing in the spring, before animals have a chance to establish their routines and favorite feeding grounds.<br /><br />The product smells like black pepper when first applied, and then dissipates in a day or so.  Animals supposedly can still smell it.  This 5-pound container doesn't go far, unfortunately, because it must be reapplied after heavy rain.  For those of us with larger properties, one container doesn't begin to cover the perimeter of garden beds and property lines.  I wonder if a large container of ground black pepper would work just as well -- and that could be used in vegetable gardens without toxic results.<br /><br />-- Debbie Lee Wesselmann"
159290,B003XUJ5AK,A16XG8UWI5W7Z2,Fred Benson,4,4,3,1298073600,Zwieback Toast,The Zwieback toast had a good taste.  I compare it to the Old Nabisco zwieback and it doesn't quite measure up.  I also did not like the size of the product.  It was small in comparison to other zwieback products.  It was o.k. but I would not order again.
172085,B00142C0X8,A2K69F2CROGTB1,MommyHH,0,0,2,1337558400,I didn't like it,"I have been looking for a good, organic tea but I just did not like the taste of this one.  It feels like it leaves a film in your mouth."
67661,B007OXJK3Y,A2OLB6ETQYWSRY,BSan,4,5,1,1328400000,pretty gross,"was really looking forward to this, read the reviews and bought some.  I thought the flavor was chemically and the coffee overall is very weak."
418947,B0002DH5MG,A1ZFM97H8SPVRQ,"seabass33 ""Carrie""",3,3,1,1251763200,Does not work at all!,"I tried this for my 6 month old Golden Retriever puppy because I was starting to see burn spots on my lawn and was hoping to ""contain"" the area where she was doing her business. NO LUCK WHATSOEVER. It was totally a waste of money. And, it turns out a little extra watering got rid of the spots...not to mention, she basically goes all over the lawn and not in one particular area. DO NOT BUY THIS PRODUCT."
177695,B003561V40,A2X3L31KCXBHCL,"Working Mom ""Working Mom""",7,10,1,1321401600,Warning - Non-Diet Flavors contain Splenda,"We love our Soda Stream and usually drink the bubbly water plain or make our own syrups (very easy to do), but I purchased the Root Beer flavor on a whim. We poured the recommended amount of syrup into the carbonated water and slurped. It was OK for a split-second, THEN came the after taste - YUCK!!!<br /><br />If you are NOT of the persuasion that Splenda is natural and don't enjoy aftertaste and don't want to acquire a taste for fake sugar, then this product is NOT for you.<br /><br />From now on, I'm not buying anything without reading the label first."
45509,B0041NYV8E,A1SP366J07MNU,"Adebisi A. Ilori ""beecee""",0,0,3,1335312000,Nothing Special,"There really isn't anything special or outstanding about this beverage. It's just like most of the instant ginger drinks out there in the market place. Though i would say, a sachet of this is good for 2-3 tea cups. It is quite strong and will have a bitter taste if you pour the entire sachet into just one tea cup. Apart from that, it just like any other instant ginger drink. I must also say, the ginger taste is by far dominant, you hardly notice the lemon at all."
489667,B0029XDZDK,A1XEJ5R3I1A2LB,Pleu,0,0,3,1328140800,Meh. Decent. Does the job.,"Ok coffee. Nothing special. Too smooth and un-interesting for me. I really love the Lake and Lodge, newman's extra bold, dark magic, and kona extra bold, in case you were needing a reference point."
90026,B004JLGEDS,A38Q1ROUWYYUGW,lxaccord,1,2,2,1329177600,Stash Chocolate Mint tea,Fast shipping. Smells good when you open the tea bag - tastes like watered down coffee with a faint mint aftertaste. Not recommended.
